Country Name,ISO3 Code,country_area
"Macao SAR, China",MAC,32.9
Morocco,MAR,446550
Monaco,MCO,74.92
Moldova,MDA,33850
Madagascar,MDG,587295
Maldives,MDV,300
Mexico,MEX,1964375
Marshall Islands,MHL,180
North Macedonia,MKD,25710
Mali,MLI,1240190
Malta,MLT,320
Myanmar,MMR,676590
Montenegro,MNE,13810
Mongolia,MNG,1564116
Northern Mariana Islands,MNP,460
Mozambique,MOZ,799380
Mauritania,MRT,1030700
Mauritius,MUS,2040
Malawi,MWI,118480
Malaysia,MYS,330345
Namibia,NAM,824290
New Caledonia,NCL,18580
Niger,NER,1267000
Nigeria,NGA,923770
Nicaragua,NIC,130370
Netherlands,NLD,41540
Norway,NOR,625221.59
Nepal,NPL,147180
Nauru,NRU,20
New Zealand,NZL,267710
Oman,OMN,309500
Pakistan,PAK,796100
Panama,PAN,75320
Peru,PER,1285220
Philippines,PHL,300000
Palau,PLW,460
Papua New Guinea,PNG,462840
Poland,POL,312690
Puerto Rico,PRI,8870
"Korea, Dem. People's Rep.",PRK,120540
Portugal,PRT,92225.6
Paraguay,PRY,406752
West Bank and Gaza,PSE,6020
French Polynesia,PYF,4000
Qatar,QAT,11490
Romania,ROU,238400
Russian Federation,RUS,17098250
Rwanda,RWA,26340
Saudi Arabia,SAU,2149690
Sudan,SDN,1854105.405
Senegal,SEN,196710
Singapore,SGP,719
Solomon Islands,SLB,28900
Sierra Leone,SLE,72300
El Salvador,SLV,21040
San Marino,SMR,60
Somalia,SOM,637660
Serbia,SRB,88360
South Sudan,SSD,633906.576
Slovak Republic,SVK,49030
Slovenia,SVN,20480
Sweden,SWE,447430
Eswatini,SWZ,17360
Seychelles,SYC,460
Syrian Arab Republic,SYR,185180
Turks and Caicos Islands,TCA,950
Chad,TCD,1284000
Togo,TGO,56790
Thailand,THA,513120
Tajikistan,TJK,141380
Turkmenistan,TKM,488100
Timor-Leste,TLS,14870
Tonga,TON,750
Trinidad and Tobago,TTO,5130
Tunisia,TUN,163610
Turkey,TUR,785350
Tuvalu,TUV,30
Tanzania,TZA,947300
Uganda,UGA,241550
Ukraine,UKR,603550
Uruguay,URY,176220
United States,USA,9831510
Uzbekistan,UZB,448924
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,912050
British Virgin Islands,VGB,150
Virgin Islands (U.S.),VIR,350
Vietnam,VNM,331230
Vanuatu,VUT,12190
Samoa,WSM,2840
"Yemen, Rep.",YEM,527970
South Africa,ZAF,1219090
Zambia,ZMB,752610
Zimbabwe,ZWE,390760
Algeria ,DZA,2381741
Anguilla,AIA,102
Cook Islands,COK,240
Falkland Islands (Malvinas),FLK,12173
Holy See,VAT,0.44
Montserrat,MSR,102
Niue,NIU,261
Norfolk Island,NFK,34
Pitcairn,PCN,5
"Saint Helena, Ascension and Tristan da Cunha ",SHN,122
Saint Pierre and Miquelon,SPM,242
Sao Tome and Principe,STP,1001
Suriname,SUR,165000
Wallis and Futuna Islands,WLF,142
