Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Ferti_Value,Flag,Flag Description
ESB,Soil nutrient budget,53,Benin,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,14.135,Fc,Calculated data
ESB,Soil nutrient budget,18,Bhutan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,28.193,Fc,Calculated data
ESB,Soil nutrient budget,19,Bolivia (Plurinational State of),7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,3.0076,Fc,Calculated data
ESB,Soil nutrient budget,80,Bosnia and Herzegovina,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,61.5169,Fc,Calculated data
ESB,Soil nutrient budget,20,Botswana,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,80.8716,Fc,Calculated data
ESB,Soil nutrient budget,21,Brazil,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,80.6032,Fc,Calculated data
ESB,Soil nutrient budget,27,Bulgaria,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,92.1413,Fc,Calculated data
ESB,Soil nutrient budget,233,Burkina Faso,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,9.2877,Fc,Calculated data
ESB,Soil nutrient budget,29,Burundi,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,8.6817,Fc,Calculated data
ESB,Soil nutrient budget,115,Cambodia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,31.4285,Fc,Calculated data
ESB,Soil nutrient budget,32,Cameroon,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,6.0012,Fc,Calculated data
ESB,Soil nutrient budget,33,Canada,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,71.2613,Fc,Calculated data
ESB,Soil nutrient budget,37,Central African Republic,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0.0458,Fc,Calculated data
ESB,Soil nutrient budget,40,Chile,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,157.1397,Fc,Calculated data
ESB,Soil nutrient budget,44,Colombia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,57.1413,Fc,Calculated data
ESB,Soil nutrient budget,46,Congo,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0.5224,Fc,Calculated data
ESB,Soil nutrient budget,47,Cook Islands,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,7.8,Fc,Calculated data
ESB,Soil nutrient budget,48,Costa Rica,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,165.1707,Fc,Calculated data
ESB,Soil nutrient budget,107,Côte d'Ivoire,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,4.6208,Fc,Calculated data
ESB,Soil nutrient budget,98,Croatia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,113.4932,Fc,Calculated data
ESB,Soil nutrient budget,49,Cuba,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,15.0195,Fc,Calculated data
ESB,Soil nutrient budget,50,Cyprus,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,60.0931,Fc,Calculated data
ESB,Soil nutrient budget,167,Czechia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,138.8788,Fc,Calculated data
ESB,Soil nutrient budget,250,Democratic Republic of the Congo,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0.7271,Fc,Calculated data
ESB,Soil nutrient budget,54,Denmark,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,79.3123,Fc,Calculated data
ESB,Soil nutrient budget,55,Dominica,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,2.1783,Fc,Calculated data
ESB,Soil nutrient budget,56,Dominican Republic,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,72.7559,Fc,Calculated data
ESB,Soil nutrient budget,58,Ecuador,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,87.6897,Fc,Calculated data
ESB,Soil nutrient budget,59,Egypt,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,342.2603,Fc,Calculated data
ESB,Soil nutrient budget,60,El Salvador,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,64.2447,Fc,Calculated data
ESB,Soil nutrient budget,178,Eritrea,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,6.7197,Fc,Calculated data
ESB,Soil nutrient budget,63,Estonia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,56.1662,Fc,Calculated data
ESB,Soil nutrient budget,238,Ethiopia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,23.4674,Fc,Calculated data
ESB,Soil nutrient budget,66,Fiji,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,12.0151,Fc,Calculated data
ESB,Soil nutrient budget,67,Finland,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,61.5866,Fc,Calculated data
ESB,Soil nutrient budget,68,France,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,117.5127,Fc,Calculated data
ESB,Soil nutrient budget,70,French Polynesia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,13.4612,Fc,Calculated data
ESB,Soil nutrient budget,74,Gabon,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,12.5513,Fc,Calculated data
ESB,Soil nutrient budget,75,Gambia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,4.5099,Fc,Calculated data
ESB,Soil nutrient budget,73,Georgia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,95.8777,Fc,Calculated data
ESB,Soil nutrient budget,79,Germany,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,112.5133,Fc,Calculated data
ESB,Soil nutrient budget,81,Ghana,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,7.4595,Fc,Calculated data
ESB,Soil nutrient budget,84,Greece,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,55.6978,Fc,Calculated data
ESB,Soil nutrient budget,89,Guatemala,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,84.522,Fc,Calculated data
ESB,Soil nutrient budget,90,Guinea,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,2.4904,Fc,Calculated data
ESB,Soil nutrient budget,91,Guyana,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,42.1646,Fc,Calculated data
ESB,Soil nutrient budget,95,Honduras,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,69.0322,Fc,Calculated data
ESB,Soil nutrient budget,97,Hungary,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,94.1961,Fc,Calculated data
ESB,Soil nutrient budget,99,Iceland,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,97.0496,Fc,Calculated data
ESB,Soil nutrient budget,100,India,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,104.0527,Fc,Calculated data
ESB,Soil nutrient budget,101,Indonesia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,63.1011,Fc,Calculated data
ESB,Soil nutrient budget,102,Iran (Islamic Republic of),7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,34.2849,Fc,Calculated data
ESB,Soil nutrient budget,103,Iraq,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,34.4644,Fc,Calculated data
ESB,Soil nutrient budget,105,Israel,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,103.8692,Fc,Calculated data
ESB,Soil nutrient budget,106,Italy,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,65.7325,Fc,Calculated data
ESB,Soil nutrient budget,109,Jamaica,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,17.232,Fc,Calculated data
ESB,Soil nutrient budget,110,Japan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,88.0317,Fc,Calculated data
ESB,Soil nutrient budget,112,Jordan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,71.1866,Fc,Calculated data
ESB,Soil nutrient budget,108,Kazakhstan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,3.5107,Fc,Calculated data
ESB,Soil nutrient budget,114,Kenya,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,9.4693,Fc,Calculated data
ESB,Soil nutrient budget,113,Kyrgyzstan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,18.2996,Fc,Calculated data
ESB,Soil nutrient budget,119,Latvia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,57.2064,Fc,Calculated data
ESB,Soil nutrient budget,121,Lebanon,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,65.6043,Fc,Calculated data
ESB,Soil nutrient budget,124,Libya,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,7.1707,Fc,Calculated data
ESB,Soil nutrient budget,126,Lithuania,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,74.1204,Fc,Calculated data
ESB,Soil nutrient budget,256,Luxembourg,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,204.7553,Fc,Calculated data
ESB,Soil nutrient budget,129,Madagascar,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,7.9592,Fc,Calculated data
ESB,Soil nutrient budget,130,Malawi,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,23.1802,Fc,Calculated data
ESB,Soil nutrient budget,131,Malaysia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,46.1475,Fc,Calculated data
ESB,Soil nutrient budget,132,Maldives,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,58.8522,Fc,Calculated data
ESB,Soil nutrient budget,133,Mali,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,15.6974,Fc,Calculated data
ESB,Soil nutrient budget,134,Malta,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,125.0472,Fc,Calculated data
ESB,Soil nutrient budget,137,Mauritius,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,93.7797,Fc,Calculated data
ESB,Soil nutrient budget,138,Mexico,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,50.0465,Fc,Calculated data
ESB,Soil nutrient budget,141,Mongolia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,30.4104,Fc,Calculated data
ESB,Soil nutrient budget,143,Morocco,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,27.401,Fc,Calculated data
ESB,Soil nutrient budget,144,Mozambique,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,4.4552,Fc,Calculated data
ESB,Soil nutrient budget,28,Myanmar,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,21.5487,Fc,Calculated data
ESB,Soil nutrient budget,147,Namibia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,25.1316,Fc,Calculated data
ESB,Soil nutrient budget,148,Nauru,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0,Fc,Calculated data
ESB,Soil nutrient budget,149,Nepal,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,54.7153,Fc,Calculated data
ESB,Soil nutrient budget,153,New Caledonia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,57.9381,Fc,Calculated data
ESB,Soil nutrient budget,157,Nicaragua,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,26.9885,Fc,Calculated data
ESB,Soil nutrient budget,158,Niger,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0.3615,Fc,Calculated data
ESB,Soil nutrient budget,159,Nigeria,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,10.9442,Fc,Calculated data
ESB,Soil nutrient budget,154,North Macedonia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,39.0283,Fc,Calculated data
ESB,Soil nutrient budget,162,Norway,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,126.9939,Fc,Calculated data
ESB,Soil nutrient budget,221,Oman,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,93.8813,Fc,Calculated data
ESB,Soil nutrient budget,165,Pakistan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,110.1253,Fc,Calculated data
ESB,Soil nutrient budget,166,Panama,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,15.4904,Fc,Calculated data
ESB,Soil nutrient budget,168,Papua New Guinea,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,31.7365,Fc,Calculated data
ESB,Soil nutrient budget,169,Paraguay,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,27.6207,Fc,Calculated data
ESB,Soil nutrient budget,170,Peru,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,51.1668,Fc,Calculated data
ESB,Soil nutrient budget,171,Philippines,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,59.3854,Fc,Calculated data
ESB,Soil nutrient budget,173,Poland,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,96.04,Fc,Calculated data
ESB,Soil nutrient budget,174,Portugal,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,59.153,Fc,Calculated data
ESB,Soil nutrient budget,179,Qatar,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,82.3529,Fc,Calculated data
ESB,Soil nutrient budget,117,Republic of Korea,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,135.427,Fc,Calculated data
ESB,Soil nutrient budget,146,Republic of Moldova,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,33.2729,Fc,Calculated data
ESB,Soil nutrient budget,183,Romania,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,37.7286,Fc,Calculated data
ESB,Soil nutrient budget,185,Russian Federation,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,12.4918,Fc,Calculated data
ESB,Soil nutrient budget,184,Rwanda,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,3.092,Fc,Calculated data
ESB,Soil nutrient budget,189,Saint Lucia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,13.215,Fc,Calculated data
ESB,Soil nutrient budget,244,Samoa,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0.1607,Fc,Calculated data
ESB,Soil nutrient budget,194,Saudi Arabia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,47.7542,Fc,Calculated data
ESB,Soil nutrient budget,195,Senegal,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,11.2874,Fc,Calculated data
ESB,Soil nutrient budget,272,Serbia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,41.6633,Fc,Calculated data
ESB,Soil nutrient budget,196,Seychelles,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,30.1613,Fc,Calculated data
ESB,Soil nutrient budget,199,Slovakia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,94.4886,Fc,Calculated data
ESB,Soil nutrient budget,198,Slovenia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,115.7709,Fc,Calculated data
ESB,Soil nutrient budget,202,South Africa,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,37.8635,Fc,Calculated data
ESB,Soil nutrient budget,203,Spain,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,61.6262,Fc,Calculated data
ESB,Soil nutrient budget,38,Sri Lanka,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,29.0225,Fc,Calculated data
ESB,Soil nutrient budget,276,Sudan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,8.1569,Fc,Calculated data
ESB,Soil nutrient budget,207,Suriname,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,102.664,Fc,Calculated data
ESB,Soil nutrient budget,210,Sweden,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,72.1171,Fc,Calculated data
ESB,Soil nutrient budget,211,Switzerland,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,105.2285,Fc,Calculated data
ESB,Soil nutrient budget,212,Syrian Arab Republic,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,0.9434,Fc,Calculated data
ESB,Soil nutrient budget,208,Tajikistan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,9.3084,Fc,Calculated data
ESB,Soil nutrient budget,216,Thailand,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,71.1366,Fc,Calculated data
ESB,Soil nutrient budget,217,Togo,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,1.5142,Fc,Calculated data
ESB,Soil nutrient budget,219,Tonga,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,2.0506,Fc,Calculated data
ESB,Soil nutrient budget,220,Trinidad and Tobago,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,138.2979,Fc,Calculated data
ESB,Soil nutrient budget,222,Tunisia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,14.3801,Fc,Calculated data
ESB,Soil nutrient budget,223,Turkey,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,65.8869,Fc,Calculated data
ESB,Soil nutrient budget,226,Uganda,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,1.2318,Fc,Calculated data
ESB,Soil nutrient budget,230,Ukraine,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,41.6258,Fc,Calculated data
ESB,Soil nutrient budget,225,United Arab Emirates,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,185.2767,Fc,Calculated data
ESB,Soil nutrient budget,229,United Kingdom of Great Britain and Northern Ireland,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,169.7909,Fc,Calculated data
ESB,Soil nutrient budget,215,United Republic of Tanzania,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,9.058,Fc,Calculated data
ESB,Soil nutrient budget,231,United States of America,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,72.5797,Fc,Calculated data
ESB,Soil nutrient budget,234,Uruguay,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,85.7994,Fc,Calculated data
ESB,Soil nutrient budget,235,Uzbekistan,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,161.6394,Fc,Calculated data
ESB,Soil nutrient budget,236,Venezuela (Bolivarian Republic of),7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,78.9697,Fc,Calculated data
ESB,Soil nutrient budget,237,Viet Nam,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,136.4496,Fc,Calculated data
ESB,Soil nutrient budget,249,Yemen,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,2.6102,Fc,Calculated data
ESB,Soil nutrient budget,251,Zambia,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,38.5781,Fc,Calculated data
ESB,Soil nutrient budget,181,Zimbabwe,7276,Cropland nutrient flow per unit area,5061,Synthetic Fertilizers,2018,2018,kg/ha,15.8537,Fc,Calculated data
