Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Maize_Residue,Flag,Flag Description
QCL,Crops and livestock products,29,Burundi,5510,Production,56,Maize,2018,2018,tonnes,290498,0.824333333,239467.1847,,Official data
QCL,Crops and livestock products,35,Cabo Verde,5510,Production,56,Maize,2018,2018,tonnes,719,0.824333333,592.6956667,,Official data
QCL,Crops and livestock products,115,Cambodia,5510,Production,56,Maize,2018,2018,tonnes,1232000,0.824333333,1015578.667,*,Unofficial figure
QCL,Crops and livestock products,32,Cameroon,5510,Production,56,Maize,2018,2018,tonnes,2315941,0.824333333,1909107.364,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,33,Canada,5510,Production,56,Maize,2018,2018,tonnes,13884800,0.824333333,11445703.47,,Official data
QCL,Crops and livestock products,37,Central African Republic,5510,Production,56,Maize,2018,2018,tonnes,90000,0.824333333,74190,*,Unofficial figure
QCL,Crops and livestock products,39,Chad,5510,Production,56,Maize,2018,2018,tonnes,437898,0.824333333,360973.918,,Official data
QCL,Crops and livestock products,40,Chile,5510,Production,56,Maize,2018,2018,tonnes,1110608,0.824333333,915511.1947,,Official data
QCL,Crops and livestock products,351,China,5510,Production,56,Maize,2018,2018,tonnes,257348659,0.824333333,212141077.9,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QCL,Crops and livestock products,41,"China, mainland",5510,Production,56,Maize,2018,2018,tonnes,257173900,0.824333333,211997018.2,,Official data
QCL,Crops and livestock products,214,"China, Taiwan Province of",5510,Production,56,Maize,2018,2018,tonnes,174759,0.824333333,144059.669,,Official data
QCL,Crops and livestock products,44,Colombia,5510,Production,56,Maize,2018,2018,tonnes,1378368,0.824333333,1136234.688,,Official data
QCL,Crops and livestock products,45,Comoros,5510,Production,56,Maize,2018,2018,tonnes,6959,0.824333333,5736.535667,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,46,Congo,5510,Production,56,Maize,2018,2018,tonnes,13166,0.824333333,10853.17267,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,48,Costa Rica,5510,Production,56,Maize,2018,2018,tonnes,5614,0.824333333,4627.807333,,Official data
QCL,Crops and livestock products,107,Côte d'Ivoire,5510,Production,56,Maize,2018,2018,tonnes,1055000,0.824333333,869671.6667,*,Unofficial figure
QCL,Crops and livestock products,98,Croatia,5510,Production,56,Maize,2018,2018,tonnes,2147280,0.824333333,1770074.48,,Official data
QCL,Crops and livestock products,49,Cuba,5510,Production,56,Maize,2018,2018,tonnes,345909,0.824333333,285144.319,,Official data
QCL,Crops and livestock products,167,Czechia,5510,Production,56,Maize,2018,2018,tonnes,489150,0.824333333,403222.65,,Official data
QCL,Crops and livestock products,116,Democratic People's Republic of Korea,5510,Production,56,Maize,2018,2018,tonnes,1876153,0.824333333,1546575.456,,Official data
QCL,Crops and livestock products,250,Democratic Republic of the Congo,5510,Production,56,Maize,2018,2018,tonnes,2186055,0.824333333,1802038.005,,Official data
QCL,Crops and livestock products,54,Denmark,5510,Production,56,Maize,2018,2018,tonnes,35480,0.824333333,29247.34667,,Official data
QCL,Crops and livestock products,72,Djibouti,5510,Production,56,Maize,2018,2018,tonnes,21,0.824333333,17.311,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,55,Dominica,5510,Production,56,Maize,2018,2018,tonnes,190,0.824333333,156.6233333,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,56,Dominican Republic,5510,Production,56,Maize,2018,2018,tonnes,44590,0.824333333,36757.02333,,Official data
QCL,Crops and livestock products,58,Ecuador,5510,Production,56,Maize,2018,2018,tonnes,1324147,0.824333333,1091538.51,,Official data
QCL,Crops and livestock products,59,Egypt,5510,Production,56,Maize,2018,2018,tonnes,5111236,0.824333333,4213362.209,,Official data
QCL,Crops and livestock products,60,El Salvador,5510,Production,56,Maize,2018,2018,tonnes,685509,0.824333333,565087.919,,Official data
QCL,Crops and livestock products,178,Eritrea,5510,Production,56,Maize,2018,2018,tonnes,20000,0.824333333,16486.66667,*,Unofficial figure
QCL,Crops and livestock products,63,Estonia,5510,Production,56,Maize,2018,2018,tonnes,0,0.824333333,0,,Official data
QCL,Crops and livestock products,209,Eswatini,5510,Production,56,Maize,2018,2018,tonnes,113000,0.824333333,93149.66667,*,Unofficial figure
QCL,Crops and livestock products,238,Ethiopia,5510,Production,56,Maize,2018,2018,tonnes,10119847,0.824333333,8342127.21,,Official data
QCL,Crops and livestock products,66,Fiji,5510,Production,56,Maize,2018,2018,tonnes,1208,0.824333333,995.7946667,,Official data
QCL,Crops and livestock products,68,France,5510,Production,56,Maize,2018,2018,tonnes,12580430,0.824333333,10370467.8,,Official data
QCL,Crops and livestock products,74,Gabon,5510,Production,56,Maize,2018,2018,tonnes,46454,0.824333333,38293.58067,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,75,Gambia,5510,Production,56,Maize,2018,2018,tonnes,18000,0.824333333,14838,*,Unofficial figure
QCL,Crops and livestock products,73,Georgia,5510,Production,56,Maize,2018,2018,tonnes,194200,0.824333333,160085.5333,,Official data
QCL,Crops and livestock products,79,Germany,5510,Production,56,Maize,2018,2018,tonnes,3344300,0.824333333,2756817.967,,Official data
QCL,Crops and livestock products,81,Ghana,5510,Production,56,Maize,2018,2018,tonnes,2306384,0.824333333,1901229.211,,Official data
QCL,Crops and livestock products,84,Greece,5510,Production,56,Maize,2018,2018,tonnes,1205980,0.824333333,994129.5133,,Official data
QCL,Crops and livestock products,86,Grenada,5510,Production,56,Maize,2018,2018,tonnes,357,0.824333333,294.287,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,89,Guatemala,5510,Production,56,Maize,2018,2018,tonnes,1977433,0.824333333,1630063.936,,Official data
QCL,Crops and livestock products,90,Guinea,5510,Production,56,Maize,2018,2018,tonnes,818544,0.824333333,674753.104,,Official data
QCL,Crops and livestock products,175,Guinea-Bissau,5510,Production,56,Maize,2018,2018,tonnes,7000,0.824333333,5770.333333,*,Unofficial figure
QCL,Crops and livestock products,91,Guyana,5510,Production,56,Maize,2018,2018,tonnes,4000,0.824333333,3297.333333,*,Unofficial figure
QCL,Crops and livestock products,93,Haiti,5510,Production,56,Maize,2018,2018,tonnes,234033,0.824333333,192921.203,,Official data
QCL,Crops and livestock products,95,Honduras,5510,Production,56,Maize,2018,2018,tonnes,713142,0.824333333,587866.722,,Official data
QCL,Crops and livestock products,97,Hungary,5510,Production,56,Maize,2018,2018,tonnes,7930560,0.824333333,6537424.96,,Official data
QCL,Crops and livestock products,100,India,5510,Production,56,Maize,2018,2018,tonnes,28752880,0.824333333,23701957.41,,Official data
QCL,Crops and livestock products,101,Indonesia,5510,Production,56,Maize,2018,2018,tonnes,30253938,0.824333333,24939329.56,,Official data
QCL,Crops and livestock products,102,Iran (Islamic Republic of),5510,Production,56,Maize,2018,2018,tonnes,606559,0.824333333,500006.8023,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,103,Iraq,5510,Production,56,Maize,2018,2018,tonnes,225000,0.824333333,185475,*,Unofficial figure
QCL,Crops and livestock products,104,Ireland,5510,Production,56,Maize,2018,2018,tonnes,0,0.824333333,0,,Official data
QCL,Crops and livestock products,105,Israel,5510,Production,56,Maize,2018,2018,tonnes,74929,0.824333333,61766.47233,,Official data
QCL,Crops and livestock products,106,Italy,5510,Production,56,Maize,2018,2018,tonnes,6199150,0.824333333,5110165.983,,Official data
QCL,Crops and livestock products,109,Jamaica,5510,Production,56,Maize,2018,2018,tonnes,2177,0.824333333,1794.573667,,Official data
QCL,Crops and livestock products,110,Japan,5510,Production,56,Maize,2018,2018,tonnes,145,0.824333333,119.5283333,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,112,Jordan,5510,Production,56,Maize,2018,2018,tonnes,17434,0.824333333,14371.42733,,Official data
QCL,Crops and livestock products,108,Kazakhstan,5510,Production,56,Maize,2018,2018,tonnes,862094,0.824333333,710652.8207,,Official data
QCL,Crops and livestock products,114,Kenya,5510,Production,56,Maize,2018,2018,tonnes,4013777,0.824333333,3308690.174,,Official data
QCL,Crops and livestock products,118,Kuwait,5510,Production,56,Maize,2018,2018,tonnes,8869,0.824333333,7311.012333,,Official data
QCL,Crops and livestock products,113,Kyrgyzstan,5510,Production,56,Maize,2018,2018,tonnes,692877,0.824333333,571161.607,,Official data
QCL,Crops and livestock products,120,Lao People's Democratic Republic,5510,Production,56,Maize,2018,2018,tonnes,981680,0.824333333,809231.5467,,Official data
QCL,Crops and livestock products,119,Latvia,5510,Production,56,Maize,2018,2018,tonnes,0,0.824333333,0,,Official data
QCL,Crops and livestock products,121,Lebanon,5510,Production,56,Maize,2018,2018,tonnes,3569,0.824333333,2942.045667,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,122,Lesotho,5510,Production,56,Maize,2018,2018,tonnes,110000,0.824333333,90676.66667,*,Unofficial figure
QCL,Crops and livestock products,124,Libya,5510,Production,56,Maize,2018,2018,tonnes,3548,0.824333333,2924.734667,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,126,Lithuania,5510,Production,56,Maize,2018,2018,tonnes,87590,0.824333333,72203.35667,,Official data
QCL,Crops and livestock products,256,Luxembourg,5510,Production,56,Maize,2018,2018,tonnes,460,0.824333333,379.1933333,,Official data
QCL,Crops and livestock products,129,Madagascar,5510,Production,56,Maize,2018,2018,tonnes,215000,0.824333333,177231.6667,,Official data
QCL,Crops and livestock products,130,Malawi,5510,Production,56,Maize,2018,2018,tonnes,2697959,0.824333333,2224017.536,,Official data
QCL,Crops and livestock products,131,Malaysia,5510,Production,56,Maize,2018,2018,tonnes,68907,0.824333333,56802.337,,Official data
QCL,Crops and livestock products,132,Maldives,5510,Production,56,Maize,2018,2018,tonnes,159,0.824333333,131.069,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,133,Mali,5510,Production,56,Maize,2018,2018,tonnes,3624950,0.824333333,2988167.117,,Official data
QCL,Crops and livestock products,134,Malta,5510,Production,56,Maize,2018,2018,tonnes,0,0.824333333,0,,Official data
QCL,Crops and livestock products,136,Mauritania,5510,Production,56,Maize,2018,2018,tonnes,12000,0.824333333,9892,*,Unofficial figure
QCL,Crops and livestock products,137,Mauritius,5510,Production,56,Maize,2018,2018,tonnes,387,0.824333333,319.017,,Official data
QCL,Crops and livestock products,138,Mexico,5510,Production,56,Maize,2018,2018,tonnes,27169400,0.824333333,22396642.07,,Official data
QCL,Crops and livestock products,145,Micronesia (Federated States of),5510,Production,56,Maize,2018,2018,tonnes,96,0.824333333,79.136,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,273,Montenegro,5510,Production,56,Maize,2018,2018,tonnes,2743,0.824333333,2261.146333,,Official data
QCL,Crops and livestock products,143,Morocco,5510,Production,56,Maize,2018,2018,tonnes,118392,0.824333333,97594.472,,Official data
QCL,Crops and livestock products,144,Mozambique,5510,Production,56,Maize,2018,2018,tonnes,2496000,0.824333333,2057536,*,Unofficial figure
QCL,Crops and livestock products,28,Myanmar,5510,Production,56,Maize,2018,2018,tonnes,1984136,0.824333333,1635589.443,,Official data
QCL,Crops and livestock products,147,Namibia,5510,Production,56,Maize,2018,2018,tonnes,59253,0.824333333,48844.223,,Official data
QCL,Crops and livestock products,148,Nauru,5510,Production,56,Maize,2018,2018,tonnes,1,0.824333333,0.824333333,,Official data
QCL,Crops and livestock products,149,Nepal,5510,Production,56,Maize,2018,2018,tonnes,2535060,0.824333333,2089734.46,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,150,Netherlands,5510,Production,56,Maize,2018,2018,tonnes,89280,0.824333333,73596.48,,Official data
QCL,Crops and livestock products,153,New Caledonia,5510,Production,56,Maize,2018,2018,tonnes,10184,0.824333333,8395.010667,,Official data
QCL,Crops and livestock products,156,New Zealand,5510,Production,56,Maize,2018,2018,tonnes,191993,0.824333333,158266.2297,,Official data
QCL,Crops and livestock products,157,Nicaragua,5510,Production,56,Maize,2018,2018,tonnes,395226,0.824333333,325797.966,,Official data
QCL,Crops and livestock products,158,Niger,5510,Production,56,Maize,2018,2018,tonnes,29536,0.824333333,24347.50933,,Official data
QCL,Crops and livestock products,159,Nigeria,5510,Production,56,Maize,2018,2018,tonnes,11000000,0.824333333,9067666.667,*,Unofficial figure
QCL,Crops and livestock products,154,North Macedonia,5510,Production,56,Maize,2018,2018,tonnes,190722,0.824333333,157218.502,,Official data
QCL,Crops and livestock products,221,Oman,5510,Production,56,Maize,2018,2018,tonnes,8827,0.824333333,7276.390333,,Official data
QCL,Crops and livestock products,165,Pakistan,5510,Production,56,Maize,2018,2018,tonnes,6826379,0.824333333,5627211.756,,Official data
QCL,Crops and livestock products,166,Panama,5510,Production,56,Maize,2018,2018,tonnes,111973,0.824333333,92303.07633,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,168,Papua New Guinea,5510,Production,56,Maize,2018,2018,tonnes,13497,0.824333333,11126.027,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,169,Paraguay,5510,Production,56,Maize,2018,2018,tonnes,5344650,0.824333333,4405773.15,,Official data
QCL,Crops and livestock products,170,Peru,5510,Production,56,Maize,2018,2018,tonnes,1579142,0.824333333,1301739.389,,Official data
QCL,Crops and livestock products,171,Philippines,5510,Production,56,Maize,2018,2018,tonnes,7771919,0.824333333,6406651.896,,Official data
QCL,Crops and livestock products,173,Poland,5510,Production,56,Maize,2018,2018,tonnes,3792140,0.824333333,3125987.407,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,56,Maize,2018,2018,tonnes,713860,0.824333333,588458.5933,,Official data
QCL,Crops and livestock products,177,Puerto Rico,5510,Production,56,Maize,2018,2018,tonnes,42,0.824333333,34.622,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,179,Qatar,5510,Production,56,Maize,2018,2018,tonnes,1866,0.824333333,1538.206,,Official data
QCL,Crops and livestock products,117,Republic of Korea,5510,Production,56,Maize,2018,2018,tonnes,78012,0.824333333,64307.892,,Official data
QCL,Crops and livestock products,146,Republic of Moldova,5510,Production,56,Maize,2018,2018,tonnes,2073775,0.824333333,1709481.858,,Official data
QCL,Crops and livestock products,183,Romania,5510,Production,56,Maize,2018,2018,tonnes,18663940,0.824333333,15385307.87,,Official data
QCL,Crops and livestock products,185,Russian Federation,5510,Production,56,Maize,2018,2018,tonnes,11419020,0.824333333,9413078.82,,Official data
QCL,Crops and livestock products,184,Rwanda,5510,Production,56,Maize,2018,2018,tonnes,410280,0.824333333,338207.48,,Official data
QCL,Crops and livestock products,189,Saint Lucia,5510,Production,56,Maize,2018,2018,tonnes,,0.824333333,0,M,Data not available
QCL,Crops and livestock products,191,Saint Vincent and the Grenadines,5510,Production,56,Maize,2018,2018,tonnes,1030,0.824333333,849.0633333,,Official data
QCL,Crops and livestock products,193,Sao Tome and Principe,5510,Production,56,Maize,2018,2018,tonnes,941,0.824333333,775.6976667,,Official data
QCL,Crops and livestock products,194,Saudi Arabia,5510,Production,56,Maize,2018,2018,tonnes,44546,0.824333333,36720.75267,,Official data
QCL,Crops and livestock products,195,Senegal,5510,Production,56,Maize,2018,2018,tonnes,485673,0.824333333,400356.443,,Official data
QCL,Crops and livestock products,272,Serbia,5510,Production,56,Maize,2018,2018,tonnes,6964770,0.824333333,5741292.07,,Official data
QCL,Crops and livestock products,197,Sierra Leone,5510,Production,56,Maize,2018,2018,tonnes,22981,0.824333333,18944.00433,,Official data
QCL,Crops and livestock products,199,Slovakia,5510,Production,56,Maize,2018,2018,tonnes,1498210,0.824333333,1235024.443,,Official data
QCL,Crops and livestock products,198,Slovenia,5510,Production,56,Maize,2018,2018,tonnes,350490,0.824333333,288920.59,,Official data
QCL,Crops and livestock products,201,Somalia,5510,Production,56,Maize,2018,2018,tonnes,102000,0.824333333,84082,*,Unofficial figure
QCL,Crops and livestock products,202,South Africa,5510,Production,56,Maize,2018,2018,tonnes,12510000,0.824333333,10312410,,Official data
QCL,Crops and livestock products,277,South Sudan,5510,Production,56,Maize,2018,2018,tonnes,90000,0.824333333,74190,*,Unofficial figure
QCL,Crops and livestock products,203,Spain,5510,Production,56,Maize,2018,2018,tonnes,3842520,0.824333333,3167517.32,,Official data
QCL,Crops and livestock products,38,Sri Lanka,5510,Production,56,Maize,2018,2018,tonnes,270041,0.824333333,222603.7977,,Official data
QCL,Crops and livestock products,276,Sudan,5510,Production,56,Maize,2018,2018,tonnes,46000,0.824333333,37919.33333,,Official data
QCL,Crops and livestock products,207,Suriname,5510,Production,56,Maize,2018,2018,tonnes,85,0.824333333,70.06833333,,Official data
QCL,Crops and livestock products,210,Sweden,5510,Production,56,Maize,2018,2018,tonnes,4600,0.824333333,3791.933333,,Official data
QCL,Crops and livestock products,211,Switzerland,5510,Production,56,Maize,2018,2018,tonnes,134834,0.824333333,111148.1607,,Official data
QCL,Crops and livestock products,212,Syrian Arab Republic,5510,Production,56,Maize,2018,2018,tonnes,101349,0.824333333,83545.359,,Official data
QCL,Crops and livestock products,208,Tajikistan,5510,Production,56,Maize,2018,2018,tonnes,237355,0.824333333,195659.6383,,Official data
QCL,Crops and livestock products,216,Thailand,5510,Production,56,Maize,2018,2018,tonnes,5069143,0.824333333,4178663.546,,Official data
QCL,Crops and livestock products,176,Timor-Leste,5510,Production,56,Maize,2018,2018,tonnes,88049,0.824333333,72581.72567,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,217,Togo,5510,Production,56,Maize,2018,2018,tonnes,886630,0.824333333,730878.6633,,Official data
QCL,Crops and livestock products,220,Trinidad and Tobago,5510,Production,56,Maize,2018,2018,tonnes,4357,0.824333333,3591.620333,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,223,Turkey,5510,Production,56,Maize,2018,2018,tonnes,5700000,0.824333333,4698700,,Official data
QCL,Crops and livestock products,213,Turkmenistan,5510,Production,56,Maize,2018,2018,tonnes,40000,0.824333333,32973.33333,*,Unofficial figure
QCL,Crops and livestock products,226,Uganda,5510,Production,56,Maize,2018,2018,tonnes,2772718,0.824333333,2285643.871,,Official data
QCL,Crops and livestock products,230,Ukraine,5510,Production,56,Maize,2018,2018,tonnes,35801050,0.824333333,29511998.88,,Official data
QCL,Crops and livestock products,225,United Arab Emirates,5510,Production,56,Maize,2018,2018,tonnes,8170,0.824333333,6734.803333,,Official data
QCL,Crops and livestock products,215,United Republic of Tanzania,5510,Production,56,Maize,2018,2018,tonnes,6273151,0.824333333,5171167.474,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,56,Maize,2018,2018,tonnes,364262150,0.824333333,300273432.3,,Official data
QCL,Crops and livestock products,234,Uruguay,5510,Production,56,Maize,2018,2018,tonnes,309000,0.824333333,254719,,Official data
QCL,Crops and livestock products,235,Uzbekistan,5510,Production,56,Maize,2018,2018,tonnes,413165,0.824333333,340585.6817,,Official data
QCL,Crops and livestock products,155,Vanuatu,5510,Production,56,Maize,2018,2018,tonnes,910,0.824333333,750.1433333,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,236,Venezuela (Bolivarian Republic of),5510,Production,56,Maize,2018,2018,tonnes,1776252,0.824333333,1464223.732,,Official data
QCL,Crops and livestock products,237,Viet Nam,5510,Production,56,Maize,2018,2018,tonnes,4874054,0.824333333,4017845.181,,Official data
QCL,Crops and livestock products,249,Yemen,5510,Production,56,Maize,2018,2018,tonnes,36438,0.824333333,30037.058,,Official data
QCL,Crops and livestock products,251,Zambia,5510,Production,56,Maize,2018,2018,tonnes,2394907,0.824333333,1974201.67,,Official data
QCL,Crops and livestock products,181,Zimbabwe,5510,Production,56,Maize,2018,2018,tonnes,1560100,0.824333333,1286042.433,,Official data
